,ID,Count
0,18288,438.23545026325456
1,18289,349.7348166125647
2,18290,295.98337579444944
3,18291,244.56048913521806
4,18292,205.8473027679548
5,18293,184.26729081388373
6,18294,198.13737428201836
7,18295,229.78702010711535
8,18296,264.61409100520467
9,18297,341.9392222545624
10,18298,485.3438920929822
11,18299,538.067342446306
12,18300,543.7680168419683
13,18301,480.92041797175807
14,18302,514.2210787857631
15,18303,507.72604812185284
16,18304,494.76713802023835
17,18305,506.2930917163858
18,18306,518.7535821987074
19,18307,550.4499548631134
20,18308,528.9633965876592
21,18309,493.73135974889476
22,18310,495.52255525572843
23,18311,483.8096942023466
24,18288,437.88274658636914
25,18289,349.45334062590047
26,18290,295.7451604130216
27,18291,244.36366027601218
28,18292,205.68163132234355
29,18293,184.11898754229597
30,18294,197.97790799421415
31,18295,229.6020813331215
32,18296,264.4011224678644
33,18297,341.66402037190306
34,18298,484.9532742751122
35,18299,537.634291377574
36,18300,543.3303777171609
37,18301,480.533360284832
38,18302,513.8072198313796
39,18303,507.31741654283405
40,18304,494.3689361206043
41,18305,505.885613419222
42,18306,518.3360753636737
43,18307,550.0069379348729
44,18308,528.5376726194083
45,18309,493.3339914714711
46,18310,495.123745375986
47,18311,483.4203111482019
48,18288,437.53004290948377
49,18289,349.1718646392363
50,18290,295.50694503159383
51,18291,244.16683141680633
52,18292,205.51595987673238
53,18293,183.97068427070826
54,18294,197.8184417064099
55,18295,229.41714255912768
56,18296,264.1881539305241
57,18297,341.3888184892437
58,18298,484.5626564572424
59,18299,537.201240308842
60,18300,542.8927385923533
61,18301,480.1463025979059
62,18302,513.3933608769962
63,18303,506.9087849638154
64,18304,493.9707342209703
65,18305,505.47813512205835
66,18306,517.91856852864
67,18307,549.5639210066328
68,18308,528.1119486511575
69,18309,492.93662319404746
70,18310,494.7249354962437
71,18311,483.03092809405723
72,18288,437.17733923259834
73,18289,348.890388652572
74,18290,295.26872965016594
75,18291,243.97000255760048
76,18292,205.35028843112113
77,18293,183.8223809991205
78,18294,197.65897541860568
79,18295,229.23220378513383
80,18296,263.97518539318384
81,18297,341.11361660658434
82,18298,484.17203863937254
83,18299,536.7681892401099
84,18300,542.4550994675458
85,18301,479.75924491097976
86,18302,512.9795019226128
87,18303,506.5001533847966
88,18304,493.5725323213362
89,18305,505.0706568248946
90,18306,517.5010616936064
91,18307,549.1209040783924
92,18308,527.6862246829066
93,18309,492.5392549166239
94,18310,494.3261256165013
95,18311,482.64154503991256
